,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
69,x,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
23,b,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
6827,x,s,g,f,n,f,w,b,w,e,k,s,w,w,w,t,p,w,n,g
5216,k,y,b,t,n,f,c,b,w,e,s,s,e,w,w,t,e,w,c,w
6547,f,y,e,f,f,f,c,n,b,t,k,s,p,w,w,o,e,w,v,p
7060,x,s,e,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
4762,x,y,y,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,d
4057,x,f,g,f,c,f,c,n,g,e,s,s,w,w,w,o,p,n,s,d
3784,f,y,g,t,n,f,c,b,u,t,s,s,p,p,w,o,p,n,y,d
841,x,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,g
2234,f,y,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,v,d
647,b,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m
2973,x,f,n,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d
6882,f,y,n,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
4636,x,y,y,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,v,p
7945,k,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,o,c,l
3718,f,y,g,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,v,d
2788,f,s,g,f,n,f,w,b,p,t,f,f,w,w,w,o,e,k,s,g
7883,f,s,e,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
4339,x,y,g,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,y,g
2295,f,s,w,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,s,g
4183,f,f,g,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d
202,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g
1850,f,f,e,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,v,d
4830,f,f,y,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,v,g
2187,x,f,e,t,n,f,c,b,n,t,s,s,p,w,w,o,p,k,y,d
1329,f,f,g,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g
1457,x,f,n,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,y,d
8087,x,s,e,f,f,f,c,n,b,t,k,s,w,p,w,o,e,w,v,p
460,x,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
4121,f,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,k,v,d
5464,f,y,b,t,n,f,c,b,w,e,s,s,w,w,w,t,p,r,v,m
7452,k,y,e,f,f,f,c,n,b,t,s,k,p,p,w,o,e,w,v,l
6097,f,s,n,f,y,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
6824,k,y,n,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
5378,x,y,p,t,n,f,c,b,w,e,s,s,w,w,w,t,e,w,c,w
7654,k,s,n,f,f,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
6418,x,s,e,f,s,f,c,n,b,t,k,k,p,w,w,o,e,w,v,p
637,x,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
4657,x,f,y,f,f,f,c,b,h,e,k,k,b,b,w,o,l,h,v,d
2393,x,y,g,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,v,d
231,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,u
5859,k,s,b,t,n,f,c,b,w,e,s,s,e,e,w,t,e,w,c,w
2632,x,y,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,y,d
6630,x,s,n,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
5826,f,y,e,t,n,f,c,b,e,e,s,s,e,w,w,t,e,w,c,w
5177,b,y,w,t,n,f,c,b,r,e,s,s,w,w,w,t,p,r,v,g
443,x,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
728,b,s,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
824,x,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,p
3075,f,f,g,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,y,p
4201,f,f,g,f,f,f,c,b,g,e,k,k,n,p,w,o,l,h,y,p
2203,f,f,g,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d
1819,x,f,n,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,v,d
1243,f,s,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,u
4511,f,f,g,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,y,p
6064,f,y,e,f,s,f,c,n,b,t,s,s,w,p,w,o,e,w,v,p
7167,b,f,g,f,n,f,w,b,g,e,k,s,w,w,w,t,p,w,s,g
2412,x,y,n,t,n,f,c,b,p,t,s,s,p,p,w,o,p,n,v,d
3320,f,y,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,v,d
5890,f,y,y,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,d
6217,k,s,e,f,f,f,c,n,b,t,s,k,w,p,w,o,e,w,v,l
2467,x,y,e,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,v,d
1668,x,y,g,t,n,f,c,b,n,t,s,s,p,g,w,o,p,n,v,d
6767,f,s,e,f,s,f,c,n,b,t,k,s,w,w,w,o,e,w,v,l
2628,f,f,g,t,n,f,c,b,n,t,s,s,p,p,w,o,p,n,v,d
1378,f,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,g
1140,f,f,w,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,a,g
2447,f,f,n,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,y,d
7096,k,y,n,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
2516,x,y,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,v,d
8115,x,s,n,f,n,a,c,b,y,e,s,s,o,o,o,o,p,o,v,l
535,x,f,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,k,s,g
2157,f,f,n,t,n,f,c,b,u,t,s,s,w,g,w,o,p,n,v,d
1849,x,f,n,t,n,f,c,b,w,t,s,s,g,w,w,o,p,k,v,d
2128,x,f,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,y,g
7017,f,y,e,f,y,f,c,n,b,t,s,s,w,p,w,o,e,w,v,p
3604,x,y,g,f,f,f,c,b,p,e,k,k,b,n,w,o,l,h,v,d
2553,f,f,g,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,y,d
5838,f,s,g,t,f,f,c,b,p,t,f,s,w,w,w,o,p,h,s,u
4605,x,y,y,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,d
6800,f,s,e,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,l
3023,f,y,e,t,n,f,c,b,u,t,s,s,g,p,w,o,p,n,v,d
1083,f,f,g,f,n,f,w,b,n,t,f,f,w,w,w,o,e,k,s,g
2552,f,f,n,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,v,d
2666,x,y,n,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,v,d
2915,x,y,g,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d
1540,f,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,g
1519,x,f,n,f,n,f,w,b,h,t,f,f,w,w,w,o,e,k,s,g
6733,x,s,e,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,d
5045,f,f,g,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,v,d
2885,x,f,g,t,n,f,c,b,n,t,s,s,w,p,w,o,p,k,y,d
468,b,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g
2849,x,f,g,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,v,d
3759,f,f,e,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,y,d
3944,f,y,g,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,v,d
5848,f,s,w,t,f,f,c,b,w,t,f,s,w,w,w,o,p,h,s,g
1482,x,f,g,f,n,f,w,b,p,t,s,s,w,w,w,o,e,k,s,g
196,b,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
6247,f,s,n,f,s,f,c,n,b,t,s,k,w,w,w,o,e,w,v,d
498,x,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
2977,x,f,g,t,n,f,c,b,w,t,s,s,g,p,w,o,p,n,y,d
5015,k,s,b,t,n,f,c,b,w,e,s,s,w,e,w,t,e,w,c,w
1734,f,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,v,g
5860,x,y,n,f,f,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
6103,x,y,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
7520,k,y,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
7376,b,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,b,v,l
3256,f,y,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,v,d
1985,x,f,g,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d
5151,f,y,n,t,n,f,c,b,w,e,s,s,w,e,w,t,e,w,c,w
4858,k,s,e,t,n,f,c,b,w,e,s,s,e,w,w,t,e,w,c,w
3477,x,f,g,f,c,f,c,n,p,e,s,s,w,w,w,o,p,k,s,d
7442,k,s,n,f,s,f,c,n,b,t,s,s,w,w,w,o,e,w,v,d
5806,f,s,b,t,f,f,c,b,h,t,f,f,w,w,w,o,p,h,v,u
3090,x,f,g,f,f,f,c,b,g,e,k,k,n,p,w,o,l,h,y,p
486,x,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
5983,f,y,y,f,f,f,c,b,p,e,k,k,p,n,w,o,l,h,y,d
5772,x,s,b,t,f,f,c,b,p,t,f,f,w,w,w,o,p,h,s,u
197,x,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
277,x,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
3694,x,f,g,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,v,g
3637,f,f,g,t,n,f,c,b,u,t,s,s,p,w,w,o,p,n,y,d
965,f,s,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,s,g
2381,x,f,e,t,n,f,c,b,n,t,s,s,g,g,w,o,p,k,v,d
1336,x,s,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g
4735,x,f,y,f,f,f,c,b,h,e,k,k,b,n,w,o,l,h,y,d
4673,f,s,p,t,n,f,c,b,w,e,s,s,w,e,w,t,e,w,c,w
1349,x,y,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,v,d
2886,f,f,n,t,n,f,c,b,n,t,s,s,p,g,w,o,p,k,v,d
1322,f,f,w,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,s,g
5922,f,s,w,t,f,f,c,b,h,t,s,s,w,w,w,o,p,h,v,g
7025,k,s,n,f,n,a,c,b,y,e,s,s,o,o,n,o,p,b,c,l
3211,x,f,y,f,f,f,c,b,g,e,k,k,n,b,w,o,l,h,v,d
5280,k,y,p,t,n,f,c,b,w,e,s,s,e,w,w,t,e,w,c,w
313,x,f,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
4016,x,f,y,f,f,f,c,b,g,e,k,k,n,p,w,o,l,h,v,p
6937,x,f,w,f,n,f,w,b,p,e,s,s,w,w,w,t,p,w,s,g
3929,x,f,y,f,f,f,c,b,h,e,k,k,p,n,w,o,l,h,y,d
1862,x,f,w,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,a,g
3746,x,f,y,f,f,f,c,b,p,e,k,k,b,n,w,o,l,h,v,d
901,x,f,w,f,n,f,w,b,n,t,f,f,w,w,w,o,e,n,a,g
3041,f,f,y,f,f,f,c,b,p,e,k,k,p,p,w,o,l,h,v,d
4675,x,y,y,f,f,f,c,b,g,e,k,k,b,p,w,o,l,h,y,p
1187,f,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u
3630,x,f,g,f,f,f,c,b,g,e,k,k,n,n,w,o,l,h,y,p
1345,f,f,w,f,n,f,w,b,h,t,s,f,w,w,w,o,e,k,a,g
1348,x,f,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,y,d
307,x,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
6322,f,y,n,f,f,f,c,n,b,t,k,k,p,w,w,o,e,w,v,l
3574,f,f,g,t,n,f,c,b,u,t,s,s,w,w,w,o,p,n,v,d
6888,x,y,e,f,s,f,c,n,b,t,s,s,p,p,w,o,e,w,v,p
4579,f,f,y,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,v,d
2182,f,f,n,t,n,f,c,b,p,t,s,s,g,w,w,o,p,n,y,d
4724,x,f,y,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,y,d
5227,x,y,n,f,f,f,c,n,b,t,k,k,w,w,w,o,e,w,v,d
5018,x,f,y,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,v,d
6101,f,y,n,f,s,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
2151,f,f,n,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d
2860,x,s,p,f,c,f,w,n,u,e,s,s,w,w,w,o,p,k,s,d
1131,x,f,g,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,a,g
6198,x,s,e,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,p
1917,f,s,n,f,n,f,w,b,h,t,f,f,w,w,w,o,e,k,a,g
568,x,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,s,g
4770,x,f,y,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,v,d
6111,x,y,e,f,s,f,c,n,b,t,k,k,p,w,w,o,e,w,v,l
273,x,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
4699,x,s,g,t,f,f,c,b,h,t,f,f,w,w,w,o,p,h,s,g
786,x,f,n,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,v,u
3124,x,s,w,f,c,f,w,n,p,e,s,s,w,w,w,o,p,k,s,d
3025,f,y,e,t,n,f,c,b,p,t,s,s,g,w,w,o,p,k,v,d
5021,x,s,g,f,c,f,c,n,p,e,s,s,w,w,w,o,p,n,v,d
1897,f,s,g,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,s,g
5493,f,y,p,t,n,f,c,b,g,e,s,s,w,w,w,t,p,r,v,m
6942,k,s,n,f,s,f,c,n,b,t,s,s,p,p,w,o,e,w,v,d
5079,f,f,e,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,y,d
7600,b,y,y,f,n,f,w,n,w,e,y,y,y,y,y,o,e,w,c,l
3116,f,y,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,k,y,d
1333,f,f,g,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g
1010,x,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
1680,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
1337,x,f,e,t,n,f,c,b,u,t,s,s,w,p,w,o,p,n,y,d
2619,x,y,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,k,y,d
3032,f,f,e,t,n,f,c,b,u,t,s,s,g,p,w,o,p,k,y,d
7714,x,y,c,f,m,f,c,b,w,e,k,y,c,c,w,n,n,w,c,d
6177,f,s,e,f,f,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
3266,f,y,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,y,d
2167,x,f,g,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d
1816,x,f,g,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,y,g
4786,f,y,g,f,f,f,c,b,h,e,k,k,n,p,w,o,l,h,v,g
7687,k,y,n,f,s,f,c,n,b,t,s,k,w,p,w,o,e,w,v,p
4108,f,f,g,f,f,f,c,b,p,e,k,k,b,n,w,o,l,h,v,g
1802,x,f,g,t,n,f,c,b,u,t,s,s,w,p,w,o,p,k,v,d
7771,k,s,e,f,s,f,c,n,b,t,k,k,w,p,w,o,e,w,v,d
818,x,s,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
7286,k,s,e,f,y,f,c,n,b,t,k,k,p,w,w,o,e,w,v,p
3435,x,f,g,f,c,f,w,n,g,e,s,s,w,w,w,o,p,n,v,d
7005,k,s,w,f,n,f,w,b,p,e,k,s,w,w,w,t,p,w,s,g
1890,x,s,w,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,a,g
4845,x,s,w,t,f,f,c,b,p,t,f,f,w,w,w,o,p,h,v,g
5563,x,y,e,t,n,f,c,b,e,e,s,s,e,w,w,t,e,w,c,w
6475,f,y,e,f,y,f,c,n,b,t,s,k,w,p,w,o,e,w,v,d
2762,x,y,g,t,n,f,c,b,w,t,s,s,w,g,w,o,p,k,y,d
6995,f,y,e,f,s,f,c,n,b,t,k,s,p,w,w,o,e,w,v,d
5773,f,y,r,f,n,f,c,n,p,e,s,f,w,w,w,o,f,h,y,d
257,x,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
7026,x,s,n,f,n,a,c,b,n,e,s,s,o,o,o,o,p,n,c,l
5110,x,y,g,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,y,g
6537,f,y,n,f,s,f,c,n,b,t,s,s,w,p,w,o,e,w,v,l
6784,f,s,n,f,f,f,c,n,b,t,s,k,w,w,w,o,e,w,v,d
6453,f,y,n,f,s,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
1381,f,s,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
1475,f,f,n,f,n,f,w,b,k,t,s,f,w,w,w,o,e,n,s,g
7269,k,s,e,f,y,f,c,n,b,t,k,k,w,p,w,o,e,w,v,l
77,f,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p
136,f,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
6262,x,s,n,f,y,f,c,n,b,t,k,s,p,w,w,o,e,w,v,l
7233,b,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,b,c,l
5174,f,y,y,f,f,f,c,b,h,e,k,k,p,b,w,o,l,h,v,d
6495,f,y,n,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,d
2270,f,f,g,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d
5118,x,s,w,t,f,f,c,b,w,t,s,f,w,w,w,o,p,h,s,u
7997,k,s,n,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,l
837,x,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,s,u
7963,k,y,n,f,f,f,c,n,b,t,s,k,w,p,w,o,e,w,v,d
880,f,f,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
917,x,y,g,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,y,d
4300,f,f,g,f,f,f,c,b,h,e,k,k,n,n,w,o,l,h,y,d
6889,f,s,e,f,f,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
6659,f,s,e,f,y,f,c,n,b,t,s,s,w,w,w,o,e,w,v,p
1139,x,s,n,f,n,f,w,b,n,t,f,s,w,w,w,o,e,n,a,g
2597,x,f,g,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,y,d
5614,x,y,n,f,s,f,c,n,b,t,k,s,w,p,w,o,e,w,v,l
4022,x,y,g,f,f,f,c,b,p,e,k,k,p,b,w,o,l,h,y,p
1999,x,s,n,f,n,f,w,b,k,t,s,f,w,w,w,o,e,k,s,g
350,f,s,g,f,n,f,w,b,h,t,f,f,w,w,w,o,e,n,a,g
2010,x,s,n,f,n,f,w,b,k,t,f,f,w,w,w,o,e,n,a,g
847,b,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
4187,f,f,g,t,n,f,c,b,u,t,s,s,p,g,w,o,p,n,v,d
4213,x,f,y,f,f,f,c,b,h,e,k,k,n,b,w,o,l,h,v,g
6403,k,f,g,f,n,f,w,b,g,e,k,k,w,w,w,t,p,w,s,g
7542,b,f,g,f,n,f,w,b,p,e,k,s,w,w,w,t,p,w,s,g
3229,f,f,g,t,n,f,c,b,w,t,s,s,g,w,w,o,p,k,v,d
2267,x,y,n,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,v,d
473,s,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,y,u
1383,f,s,n,f,n,f,w,b,n,t,f,s,w,w,w,o,e,k,a,g
139,b,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
2459,x,y,e,t,n,f,c,b,w,t,s,s,w,p,w,o,p,n,v,d
6697,f,y,n,f,f,f,c,n,b,t,k,k,w,w,w,o,e,w,v,d
7205,k,s,n,f,n,a,c,b,y,e,s,s,o,o,o,o,p,y,c,l
2899,f,y,n,t,n,f,c,b,n,t,s,s,g,p,w,o,p,k,v,d
6861,f,y,n,f,y,f,c,n,b,t,k,s,p,p,w,o,e,w,v,l
5569,f,s,p,t,n,f,c,b,w,e,s,s,e,w,w,t,e,w,c,w
3193,f,f,y,f,f,f,c,b,p,e,k,k,b,n,w,o,l,h,v,d
5657,f,s,g,t,f,f,c,b,w,t,f,f,w,w,w,o,p,h,s,u
4504,x,y,y,f,f,f,c,b,p,e,k,k,b,b,w,o,l,h,v,g
3325,f,y,e,t,n,f,c,b,u,t,s,s,g,g,w,o,p,n,v,d
6948,x,s,n,f,s,f,c,n,b,t,s,k,p,p,w,o,e,w,v,l
5381,x,s,w,t,f,f,c,b,p,t,s,f,w,w,w,o,p,h,v,u
4747,f,f,y,f,f,f,c,b,g,e,k,k,p,b,w,o,l,h,y,p
6542,f,y,n,f,f,f,c,n,b,t,k,k,w,p,w,o,e,w,v,l
2812,x,y,g,t,n,f,c,b,p,t,s,s,w,w,w,o,p,n,v,d
1950,x,f,g,t,n,f,c,b,w,t,s,s,p,p,w,o,p,n,v,d
1764,x,s,w,f,n,f,w,b,p,t,f,f,w,w,w,o,e,n,s,g
1104,f,f,n,f,n,f,w,b,n,t,s,f,w,w,w,o,e,n,a,g
3728,f,y,e,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d
2159,x,f,e,t,n,f,c,b,u,t,s,s,w,g,w,o,p,k,v,d
4788,f,y,n,t,n,f,c,b,n,t,s,s,p,w,w,o,p,n,v,d
3040,x,y,y,f,f,f,c,b,p,e,k,k,b,p,w,o,l,h,v,g
6772,f,s,n,f,s,f,c,n,b,t,k,k,w,p,w,o,e,w,v,l
5409,f,s,b,t,f,f,c,b,p,t,f,s,w,w,w,o,p,h,s,g
1179,f,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,p
6958,k,f,w,f,n,f,w,b,g,e,s,s,w,w,w,t,p,w,s,g
1622,f,s,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,s,g
1294,f,s,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,g
1411,f,s,n,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,s,g
1943,f,f,w,f,n,f,w,b,k,t,s,s,w,w,w,o,e,k,s,g
779,b,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
7384,k,s,e,f,y,f,c,n,b,t,k,s,w,w,w,o,e,w,v,p
4651,f,f,g,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,y,g
7107,f,s,e,f,y,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
1971,f,f,n,f,n,f,w,b,h,t,s,f,w,w,w,o,e,n,s,g
5448,x,y,n,f,y,f,c,n,b,t,k,s,w,p,w,o,e,w,v,p
5314,x,s,w,t,f,f,c,b,h,t,f,s,w,w,w,o,p,h,v,g
1353,f,s,n,f,n,f,w,b,k,t,s,f,w,w,w,o,e,n,a,g
4704,f,s,b,t,f,f,c,b,h,t,f,s,w,w,w,o,p,h,s,u
5419,f,y,y,f,f,f,c,b,h,e,k,k,b,p,w,o,l,h,v,d
5421,x,s,e,t,n,f,c,b,w,e,s,s,w,e,w,t,e,w,c,w
587,f,f,n,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u
2928,x,f,g,t,n,f,c,b,n,t,s,s,g,p,w,o,p,n,y,d
1101,f,s,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,n,s,g
1045,x,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
6727,f,s,e,f,y,f,c,n,b,t,k,k,w,w,w,o,e,w,v,l
3876,x,f,p,f,c,f,c,n,u,e,s,s,w,w,w,o,p,k,s,d
5770,x,y,n,f,f,f,c,n,b,t,k,k,p,w,w,o,e,w,v,d
3610,x,f,g,f,f,f,c,b,g,e,k,k,b,n,w,o,l,h,v,d
6813,f,s,e,f,y,f,c,n,b,t,k,k,w,w,w,o,e,w,v,p
1884,f,f,n,t,n,f,c,b,w,t,s,s,g,p,w,o,p,k,v,d
5261,f,y,y,f,f,f,c,b,g,e,k,k,p,n,w,o,l,h,y,d
5499,x,s,w,t,f,f,c,b,p,t,f,f,w,w,w,o,p,h,s,g
7956,f,s,n,f,n,a,c,b,y,e,s,s,o,o,o,o,p,o,c,l
5374,x,s,w,t,f,f,c,b,h,t,f,f,w,w,w,o,p,h,s,g
402,x,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
2098,x,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,s,g
3225,f,f,g,t,n,f,c,b,u,t,s,s,g,p,w,o,p,n,y,d
7218,k,y,n,f,f,f,c,n,b,t,k,k,p,p,w,o,e,w,v,p
1627,x,f,n,t,n,f,c,b,n,t,s,s,w,g,w,o,p,n,v,d
4380,x,y,b,t,n,f,c,b,e,e,s,s,w,e,w,t,e,w,c,w
3846,f,y,g,t,n,f,c,b,u,t,s,s,g,w,w,o,p,k,y,d
3402,x,f,g,f,f,f,c,b,g,e,k,k,p,p,w,o,l,h,y,g
1714,f,f,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,n,a,g
2438,f,y,n,t,n,f,c,b,p,t,s,s,p,g,w,o,p,k,y,d
5821,f,y,g,f,f,f,c,b,h,e,k,k,p,p,w,o,l,h,v,p
1842,x,y,g,t,n,f,c,b,p,t,s,s,w,p,w,o,p,k,v,d
7899,k,s,e,f,y,f,c,n,b,t,s,s,p,w,w,o,e,w,v,d
4541,f,y,g,f,f,f,c,b,p,e,k,k,n,n,w,o,l,h,v,g
7964,x,s,n,f,n,a,c,b,o,e,s,s,o,o,n,o,p,y,v,l
195,f,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u
2918,x,f,e,t,n,f,c,b,w,t,s,s,w,w,w,o,p,k,y,d
3741,f,f,y,f,f,f,c,b,h,e,k,k,p,p,w,o,l,h,v,p
7965,x,y,n,t,n,f,c,b,w,e,s,s,w,w,w,t,p,w,y,p
2861,f,y,n,t,n,f,c,b,w,t,s,s,p,p,w,o,p,k,v,d
3948,f,f,e,t,n,f,c,b,p,t,s,s,g,g,w,o,p,n,v,d
